Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,1.5393631143702402,1.5912400037050247,0.2957899305555556,0.244140625
2,1.4431584556069639,1.895158144334952,0.3343098958333333,0.23177083333333334
3,1.397383161716991,1.7319276655713718,0.3607855902777778,0.283203125
4,1.316123501294189,1.5627251416444778,0.4233940972222222,0.3092447916666667
5,1.2293601652814283,1.2695410884916782,0.4810112847222222,0.4713541666666667
6,1.1462603341788054,1.2295631058514118,0.53125,0.4928385416666667
7,1.0531717685775623,1.1604345738887787,0.5689019097222222,0.525390625
8,0.9973215584953626,1.1049272827804089,0.5981987847222222,0.5657552083333334
9,0.9422993285374509,1.0700972862541676,0.6293402777777778,0.5748697916666666
10,0.8802442882830898,1.0889313990871112,0.6595052083333334,0.5833333333333334
11,0.8226869681643115,1.1564249160389106,0.6810980902777778,0.5423177083333334
12,0.7613592944625351,1.0642685294151306,0.7107204861111112,0.58203125
13,0.7046088732572066,1.146442251900832,0.732421875,0.5865885416666666
14,0.6573549264834987,1.1952340106169383,0.7567274305555556,0.58984375
15,0.5790070161326892,1.1623593680560589,0.7838541666666666,0.60546875
16,0.5176011759063436,1.184737219164769,0.8157552083333334,0.5989583333333334
17,0.4760663209793468,1.1798827983438969,0.8297526041666666,0.6087239583333334
18,0.42598291903009844,1.3856930496792,0.8460286458333334,0.5729166666666666
19,0.3640877809892926,1.38626737271746,0.8733723958333334,0.5872395833333334
20,0.3290639474030791,1.7145347731808822,0.8834635416666666,0.5638020833333334
Total Time,900.9655032157898
