Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,1.5672882869839668,1.487026832997799,0.3564453125,0.3684895833333333
2,1.2381563840640917,1.2664381451904774,0.4820963541666667,0.4850260416666667
3,1.0820548600620694,1.1929719150066376,0.5616319444444444,0.4986979166666667
4,0.9592914732380046,1.113795530050993,0.6236979166666666,0.57421875
5,0.8760509823138515,1.1837166547775269,0.6625434027777778,0.548828125
6,0.7941125776204798,0.9955590578416983,0.6960720486111112,0.6015625
7,0.7489388867591819,1.102868566910426,0.7186414930555556,0.58203125
8,0.6875000096236666,1.249508721133073,0.7426215277777778,0.5475260416666666
9,0.6078622132125828,1.1179828668634098,0.7747395833333334,0.5963541666666666
10,0.5404053862827519,1.1342320889234543,0.8023003472222222,0.6002604166666666
11,0.47276604667098987,1.2188250161707401,0.8241102430555556,0.6243489583333334
12,0.42542379362405175,1.0886285826563835,0.8466796875,0.6263020833333334
13,0.3759977487433288,1.2502616172035534,0.8617621527777778,0.59765625
14,0.34611532446514404,1.4189859107136726,0.8771701388888888,0.607421875
15,0.2771577436554556,1.4692550090452035,0.90234375,0.6334635416666666
16,0.2410142099381321,1.452098370840152,0.9139539930555556,0.6197916666666666
17,0.20651609116208014,1.4399764897922676,0.9264322916666666,0.6171875
18,0.19187524992998484,1.5475459011892478,0.9324001736111112,0.6106770833333334
19,0.18772020610372742,1.7210741452872753,0.9320746527777778,0.5891927083333334
20,0.13490313525997205,1.7963522511223953,0.9546440972222222,0.611328125
Total Time,525.253075838089
