Epoch,Train Loss,Val Loss,Train Acc,Val Acc
1,1.499003010077609,1.31959717720747,0.3559027777777778,0.4225260416666667
2,1.318196905983819,1.277299312253793,0.4473741319444444,0.462890625
3,1.2153284164766471,1.1709275469183922,0.494140625,0.5221354166666666
4,1.0976234833813376,1.159978957225879,0.5482855902777778,0.5130208333333334
5,1.028400395065546,1.1033581892649333,0.5787760416666666,0.5618489583333334
6,0.9450261986090077,1.1470648894707363,0.6057942708333334,0.5657552083333334
7,0.8690327488713794,1.126405945668618,0.6391059027777778,0.578125
8,0.8078905903837748,1.1159953686098258,0.6724175347222222,0.5794270833333334
9,0.7232737017588483,1.2860639070471127,0.6979166666666666,0.5768229166666666
10,0.6647480027750134,1.2621722519397736,0.7198350694444444,0.5852864583333334
11,0.628599044556419,1.2661245552202065,0.7259114583333334,0.5690104166666666
12,0.5516429634040428,1.3522936776280403,0.76171875,0.5598958333333334
13,0.5300569030870166,1.4130332134664059,0.7664930555555556,0.5891927083333334
14,0.47662782705285484,1.5636384213964145,0.7842881944444444,0.5657552083333334
15,0.45892720033104223,1.5344792616864045,0.7893880208333334,0.5651041666666666
16,0.44287435586253804,1.7169458717107773,0.7979600694444444,0.5735677083333334
17,0.4169069524957902,1.7347213464478652,0.8026258680555556,0.5638020833333334
18,0.41628352930355406,1.780632123351097,0.8011067708333334,0.5553385416666666
19,0.39468922522953814,1.7111409169932206,0.8071831597222222,0.576171875
20,0.39066386067618925,2.0521161233385405,0.8021918402777778,0.546875
Total Time,357.7412145137787
